"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"/Engine/EngineMaterials/NaniteHiddenSectionMaterial","21","0","9","1","5.394010","0","9"
"/ControlRig/Controls/ControlRigXRayMaterial","21","0","2","1","0.475786","0","2"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial","21","0","2","1","0.574861","0","2"
"/Engine/EditorLandscapeResources/ColorMaskBrushMaterial","21","0","2","1","1.277882","0","2"
"/Engine/EditorMaterials/WidgetVertexColorMaterial","21","0","2","1","1.293416","0","2"
"/Engine/EngineMaterials/EmissiveMeshMaterial","21","0","4","1","2.853459","0","4"
"/Game/HandheldAR/Blueprints/UI/Materials/M_CircularMask","21","0","12","1","5.287730","0","12"
"/HairStrands/Materials/HairCardsDefaultMaterial","21","0","20","1","9.621305","0","20"
"/HairStrands/Materials/HairDefaultMaterial","21","0","12","1","6.153945","0","12"
"/Game/ProductAssets/Materials/M_Plastic","21","0","4","1","2.071431","0","4"
"/Engine/EditorLandscapeResources/SelectBrushMaterial","21","0","2","1","1.370547","0","2"
"/HairStrands/Materials/HairMeshesDefaultMaterial","21","0","12","1","3.952393","0","12"
"/Engine/VREditor/TransformGizmo/Xray","21","0","4","1","0.000000","0","4"
"/Engine/BasicShapes/BasicShapeMaterial","21","0","24","1","12.702022","0","24"
"/Engine/EngineMaterials/GizmoMaterial","21","0","4","1","1.156373","0","4"
"/Engine/EngineDebugMaterials/DebugEditorMaterial","21","0","4","1","1.071745","0","4"
"/ControlRig/Controls/ControlRigGizmoMaterial","21","0","2","1","0.574459","0","2"
"/Engine/EngineMaterials/M_InvalidLightmapSettings","21","0","8","1","4.067784","0","8"
"/Engine/EngineMaterials/Widget3DPassThrough_Translucent","21","0","2","1","0.647556","0","2"
"/Engine/EditorLandscapeResources/LayerVisMaterial","21","0","2","1","1.187660","0","2"
"/InterchangeAssets/gltf/MaterialInstances/MI_Default_Blend_DS","21","0","12","1","10.564301","0","12"
"/InterchangeAssets/gltf/MaterialInstances/MI_Sheen_Mask","21","0","20","1","13.103786","0","20"
"/Engine/EditorLandscapeResources/LandscapeDirtyMaterial","21","0","2","1","1.269439","0","2"
"/Engine/EngineMaterials/PhAT_JointLimitMaterial","21","0","4","1","1.852945","0","4"
"/ControlRig/M_Manip","21","0","4","1","2.311479","0","4"
"/Paper2D/DefaultSpriteMaterial","21","0","16","1","11.500954","0","16"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT","21","0","12","1","4.499952","0","12"
"/Engine/EngineMaterials/FlattenMaterial_VT","21","0","12","1","5.888488","0","12"
"/Engine/VREditor/TransformGizmo/TransformGizmoMaterial","21","0","2","1","1.183433","0","2"
"/Engine/EngineMaterials/FlattenMaterial","21","0","20","1","10.605231","0","20"
"/Engine/EditorMaterials/Dataflow/M_Dataflow_CheckerBoard","21","0","8","1","3.523492","0","8"
"/ARUtilities/Materials/M_ScreenSpacePassthroughCamera","21","0","4","1","2.428679","0","4"
"/HairStrands/Materials/HairDebugMaterial","21","0","20","1","11.069630","0","20"
"/Engine/EngineDebugMaterials/M_VolumeRenderSphereTracePP","21","0","10","1","2.841844","0","10"
"/GoogleARCore/M_SceneDepthOcclusion","21","0","10","1","2.616737","0","10"
"/ARUtilities/Materials/M_PassthroughCamera","21","0","10","1","2.258852","0","10"
"/ARUtilities/Materials/M_DepthColoration","21","0","10","1","2.450772","0","10"
"/AppleARKit/M_SceneDepthOcclusion","21","0","10","1","2.563255","0","10"
"/InterchangeAssets/gltf/MaterialInstances/MI_Default_Mask_DS","21","0","20","1","12.626783","0","20"
"/Engine/EngineMaterials/DefaultPostProcessMaterial","21","0","36","1","13.511126","0","36"
